	filter	window	alpha	lag	alphaLP	alphaHP	no mismatchess	Key Lenght	Key Sattus	Key bit Mismatches	Key bit Matches	key bit mismatches %	Seq bit Mismatches	Seq bit Matches	Seq bit mismatches %
362	bandpassHPLP	    -    	    -    	    -    	0.9	0.2	2	201	False	2	199	0.01	6801	33199	0.17
363	bandpassHPLP	    -    	    -    	    -    	0.9	0.30000000000000004	2	206	False	2	204	0.0097	6978	33022	0.1744
364	bandpassHPLP	    -    	    -    	    -    	0.9	0.4	2	220	False	2	218	0.0091	7048	32952	0.1762
365	bandpassHPLP	    -    	    -    	    -    	0.9	0.5	1	217	False	1	216	0.0046	6921	33079	0.173
366	bandpassHPLP	    -    	    -    	    -    	0.9	0.6000000000000001	3	223	False	3	220	0.0135	6547	33453	0.1637
367	bandpassHPLP	    -    	    -    	    -    	0.9	0.7000000000000001	3	220	False	3	217	0.0136	6278	33722	0.157
368	bandpassHPLP	    -    	    -    	    -    	0.9	0.8	5	229	False	5	224	0.0218	6135	33865	0.1534
369	bandpassHPLP	    -    	    -    	    -    	0.9	0.9	6	232	False	6	226	0.0259	6039	33961	0.151
370	bandpassHPLP	    -    	    -    	    -    	0.9	1.0	5	226	False	5	221	0.0221	6265	33735	0.1566
371	bandpassLPHP	    -    	    -    	    -    	0.0	0.1	5	226	False	5	221	0.0221	6269	33731	0.1567
372	bandpassLPHP	    -    	    -    	    -    	0.0	0.2	2	208	False	2	206	0.0096	7306	32694	0.1827
373	bandpassLPHP	    -    	    -    	    -    	0.0	0.30000000000000004	4	205	False	4	201	0.0195	8314	31686	0.2079
374	bandpassLPHP	    -    	    -    	    -    	0.0	0.4	4	196	False	4	192	0.0204	8039	31961	0.201
375	bandpassLPHP	    -    	    -    	    -    	0.0	0.5	2	201	False	2	199	0.01	7642	32358	0.191
376	bandpassLPHP	    -    	    -    	    -    	0.0	0.6000000000000001	2	211	False	2	209	0.0095	7067	32933	0.1767
377	bandpassLPHP	    -    	    -    	    -    	0.0	0.7000000000000001	1	206	False	1	205	0.0049	6378	33622	0.1595
378	bandpassLPHP	    -    	    -    	    -    	0.0	0.8	6	218	False	6	212	0.0275	5648	34352	0.1412
379	bandpassLPHP	    -    	    -    	    -    	0.0	0.9	1	227	False	1	226	0.0044	4817	35183	0.1204
380	bandpassLPHP	    -    	    -    	    -    	0.0	1.0	0	281	True	0	281	0.0	534	39466	0.0134
381	bandpassLPHP	    -    	    -    	    -    	0.1	0.1	6	232	False	6	226	0.0259	6039	33961	0.151
382	bandpassLPHP	    -    	    -    	    -    	0.1	0.2	5	213	False	5	208	0.0235	7009	32991	0.1752
383	bandpassLPHP	    -    	    -    	    -    	0.1	0.30000000000000004	9	201	False	9	192	0.0448	8389	31611	0.2097
